ds,y
7/25/2025,16.4
7/25/2025,301.3
7/25/2025,231.7
7/25/2025,1409.1
7/25/2025,139.57
7/25/2025,1676.87
7/25/2025,265.34
7/25/2025,28.5
7/25/2025,5137
7/25/2025,658.82
7/25/2025,11739.88
7/25/2025,4865.97
7/25/2025,248.16
7/25/2025,3275.43
7/25/2025,1889.85
7/25/2025,183.87
7/25/2025,20356.01
7/25/2025,47216.21
7/25/2025,6986158
7/25/2025,1802.07
7/25/2025,2088.47
7/25/2025,2445.85
7/25/2025,16628.78
7/25/2025,667112
7/25/2025,64861.49
7/25/2025,43433.19
7/24/2025,172
7/24/2025,7163.5
7/24/2025,243.45
7/23/2025,158.2
7/23/2025,971.13
7/23/2025,2115.27
7/23/2025,388.42
7/23/2025,27.18
7/23/2025,674.45
7/23/2025,963.1
7/23/2025,107117
7/22/2025,346.17
7/22/2025,8.9
7/22/2025,298.84
7/22/2025,4854.04
7/22/2025,11.51
7/22/2025,11.35
7/22/2025,181.43
7/22/2025,448.85
7/22/2025,282.1
7/22/2025,1816.07
7/22/2025,457.41
7/22/2025,8198
7/22/2025,62.29
7/22/2025,95.05
7/22/2025,673.43
7/22/2025,1568.9
7/22/2025,54.78
7/22/2025,1135
7/22/2025,66.19
7/22/2025,36136
7/22/2025,223149
7/22/2025,1439.14
7/22/2025,997.8
7/22/2025,48183
7/22/2025,299.51
7/22/2025,1019.16
7/22/2025,121.08
7/22/2025,604122
7/22/2025,6794.25
7/22/2025,26113
7/22/2025,963.54
7/22/2025,2671.38
7/22/2025,49.17
7/22/2025,177.98
7/22/2025,659.81
7/22/2025,1602.83
7/22/2025,2187.61
7/22/2025,26.14
7/22/2025,161.35
7/22/2025,234145
7/22/2025,304.35
7/22/2025,217.69
7/22/2025,243
7/22/2025,4521.16
7/22/2025,23115
7/22/2025,875.33
7/22/2025,668.76
7/22/2025,106.79
7/22/2025,1026.17
7/22/2025,468.59
7/22/2025,1784.37
7/22/2025,157.12
7/22/2025,104.12
7/22/2025,29.37
7/22/2025,158.74
7/22/2025,1733.76
7/22/2025,19019.7
7/22/2025,54.78
7/22/2025,9.73
7/22/2025,181.43
7/22/2025,172.42
7/22/2025,567.2
7/22/2025,817.38
7/22/2025,1018.66
7/22/2025,99.84
7/22/2025,87.43
7/22/2025,7.9
7/22/2025,27.03
7/22/2025,1319.62
7/22/2025,1173.34
7/22/2025,697.96
7/22/2025,239.61
7/22/2025,145
7/22/2025,67.47
7/22/2025,97.56
7/21/2025,927.57
7/21/2025,24.35
7/21/2025,4323.11
7/21/2025,222.78
7/21/2025,3413.73
7/18/2025,718.82
7/18/2025,20519
7/18/2025,1162.83
7/18/2025,2305.03
7/18/2025,424.45
7/18/2025,39156
7/18/2025,21.4
7/18/2025,257.7
7/18/2025,635.5
7/18/2025,545.61
7/18/2025,1271.06
7/17/2025,275.68
7/17/2025,93.66
7/17/2025,1213.61
7/17/2025,62.01
7/17/2025,15.88
7/17/2025,133.89
7/17/2025,29.14
7/17/2025,284.37
7/17/2025,172.16
7/17/2025,454.7
7/17/2025,48188
7/17/2025,636.05
7/17/2025,1037.15
7/17/2025,159.4
7/17/2025,11199
7/17/2025,65.08
7/17/2025,455.48
7/17/2025,4718
7/17/2025,689.54
7/17/2025,154.05
7/17/2025,379.43
7/17/2025,47.36
7/17/2025,52.6
7/17/2025,124.36
7/17/2025,712.22
7/17/2025,846.83
7/17/2025,2669.07
7/17/2025,1644.9
7/17/2025,36115
7/17/2025,638.56
7/17/2025,405.06
7/17/2025,278.86
7/17/2025,48.14
7/17/2025,21.17
7/17/2025,231.33
7/17/2025,219.52
7/17/2025,452.14
7/17/2025,1466.22
7/17/2025,1268.54
7/17/2025,101.4
7/16/2025,379.43
7/16/2025,351.92
7/16/2025,37.84
7/16/2025,12.67
7/16/2025,191.55
7/16/2025,274.51
7/16/2025,343.42
7/16/2025,1172
7/16/2025,66172
7/16/2025,412.93
7/16/2025,5201.93
7/16/2025,1628.56
7/16/2025,203.72
7/16/2025,39.34
7/16/2025,69139
7/16/2025,2584.29
7/16/2025,57.68
7/16/2025,687.72
7/16/2025,284.4
7/16/2025,175.26
7/16/2025,63182
7/16/2025,155.59
7/16/2025,1088.71
7/16/2025,138.37
7/16/2025,7988.6
7/16/2025,1722.86
7/16/2025,372.59
7/16/2025,4195
7/16/2025,184.93
7/16/2025,4324.82
7/16/2025,388.43
7/16/2025,2864.86
7/15/2025,16165
7/15/2025,5591108
7/15/2025,1869.9
7/15/2025,1804.86
7/15/2025,1554.27
7/15/2025,445.27
7/15/2025,63.87
7/15/2025,137.3
7/15/2025,56.14
7/15/2025,389.57
7/15/2025,93.61
7/15/2025,135.08
7/15/2025,6198
7/15/2025,41055.92
7/14/2025,327.16
7/14/2025,554.6
7/14/2025,3144.22
7/14/2025,66346.5
7/14/2025,1
7/14/2025,4.9
7/14/2025,1096.83
7/14/2025,2915
7/14/2025,37.22
7/14/2025,142.47
7/14/2025,83.46
7/14/2025,224.15
7/14/2025,84.86
7/14/2025,74.33
7/14/2025,661.68
7/14/2025,2057.2
7/14/2025,1035.43
7/14/2025,303.88
7/12/2025,123.97
7/11/2025,3866.53
7/11/2025,63.69
7/11/2025,273.81
7/11/2025,768.22
7/11/2025,1091.14
7/11/2025,4764.95
7/11/2025,1339.56
7/11/2025,2036.28
7/11/2025,2534.68
7/11/2025,229.25
7/11/2025,898.25
7/11/2025,163183
7/11/2025,183164
7/11/2025,139.23
7/11/2025,982.61
7/11/2025,368.92
7/11/2025,1533.44
7/11/2025,1246.55
7/11/2025,173.6
7/11/2025,1886.57
7/11/2025,103865.32
7/11/2025,46178.45
7/11/2025,76052.27
7/11/2025,57.98
7/11/2025,631.54
7/11/2025,195.21
7/11/2025,313.05
7/11/2025,604.82
7/11/2025,941.59
7/11/2025,77121
7/11/2025,62123
7/11/2025,5477.46
7/11/2025,235.4
7/11/2025,74178
7/11/2025,1288.84
7/11/2025,263.39
7/11/2025,56.31
7/11/2025,431.11
7/11/2025,2156.89
7/11/2025,136.35
7/11/2025,194.22
7/11/2025,447.85
7/11/2025,2291.35
7/11/2025,618
7/11/2025,265.77
7/11/2025,242.33
7/11/2025,159.24
7/11/2025,2842.57
7/11/2025,2493.11
7/11/2025,17493.26
7/11/2025,1378.14
7/11/2025,105.75
7/11/2025,81.03
7/11/2025,646.67
7/11/2025,6383.32
7/11/2025,2316.53
7/11/2025,5166.8
7/11/2025,952.29
7/11/2025,657.4
7/11/2025,1384.64
7/10/2025,2582.54
7/10/2025,2054.91
7/10/2025,1126.37
7/10/2025,29.93
7/10/2025,31.84
7/10/2025,28467.51
7/10/2025,18.46
7/10/2025,207.39
7/10/2025,272.12
7/10/2025,1039.31
7/10/2025,172.16
7/10/2025,564.83
7/10/2025,103.78
7/10/2025,432.92
7/10/2025,150152
7/10/2025,3737.87
7/10/2025,1685.79
7/10/2025,1039.64
7/9/2025,182.68
7/9/2025,9.17
7/9/2025,12.33
7/9/2025,12.44
7/9/2025,72.03
7/9/2025,956177
7/9/2025,3476.17
7/9/2025,5.67
7/9/2025,79.77
7/9/2025,1771.18
7/9/2025,174.17
7/9/2025,347.58
7/9/2025,202.65
7/9/2025,603.16
7/9/2025,636.28
7/9/2025,182.85
7/9/2025,353.31
7/9/2025,724.46
7/8/2025,4817.07
7/8/2025,5557.8
7/8/2025,173.73
7/8/2025,56582.26
7/8/2025,977.96
7/8/2025,1493.03
7/8/2025,645117
7/8/2025,441.82
7/8/2025,10175
7/8/2025,1772.75
7/7/2025,103.19
7/7/2025,9518
7/7/2025,54.84
7/7/2025,41171
7/7/2025,538.89
7/7/2025,318.66
7/7/2025,334.62
7/7/2025,563.99
7/7/2025,12.49
7/7/2025,766.48
7/7/2025,9164
7/7/2025,3328.76
7/7/2025,1827.61
7/7/2025,1827.61
7/7/2025,2061.03
7/7/2025,2062.22
7/7/2025,248.68
7/7/2025,273714
7/7/2025,27.96
7/4/2025,397.14
7/4/2025,141.3
7/4/2025,134.64
7/4/2025,897.04
7/4/2025,261.9
7/4/2025,76724.02
7/4/2025,301.36
7/4/2025,933.79
7/4/2025,3993.82
7/4/2025,5331.69
7/4/2025,758.29
7/4/2025,82.22
7/4/2025,35.83
7/4/2025,209.65
7/4/2025,52.96
7/4/2025,32.95
7/4/2025,9.59
7/4/2025,665.98
7/4/2025,19.13
7/4/2025,44.83
7/4/2025,1109.41
7/4/2025,9184
7/4/2025,319
7/4/2025,201.09
7/4/2025,974.93
7/4/2025,351.39
7/4/2025,1407.14
7/4/2025,136.16
7/4/2025,136.16
7/4/2025,185.05
7/4/2025,329.28
7/4/2025,1302.09
7/4/2025,1145.83
7/4/2025,2064.77
7/4/2025,55.07
7/4/2025,63.09
7/4/2025,82.17
7/4/2025,1479.88
7/4/2025,143.74
7/4/2025,407.82
7/4/2025,145.91
7/4/2025,33142
7/4/2025,277.89
7/4/2025,208.14
7/4/2025,16.26
7/4/2025,1187.02
7/4/2025,1079.7
7/4/2025,542.56
7/4/2025,88027.14
7/3/2025,1392.85
7/3/2025,23756.71
7/3/2025,129.4
7/3/2025,46.66
7/3/2025,11.99
7/3/2025,12.59
7/3/2025,47.97
7/3/2025,31.07
7/3/2025,56.69
7/3/2025,13198
7/3/2025,744.33
7/3/2025,168.42
7/3/2025,57.99
7/3/2025,11488.88
7/3/2025,51.45
7/3/2025,3141
7/3/2025,591.66
7/3/2025,1187.25
7/3/2025,336.85
7/3/2025,14.72
7/3/2025,12179
7/3/2025,175.51
7/3/2025,74.67
7/3/2025,263102
7/3/2025,3179.61
7/3/2025,244.19
7/3/2025,1039.97
7/3/2025,119141
7/3/2025,1.09
7/3/2025,19.19
7/3/2025,5553.73
7/3/2025,5553.73
7/3/2025,1191.72
7/3/2025,1634.74
7/3/2025,228.49
7/3/2025,228.71
7/3/2025,408.14
7/3/2025,131.3
7/3/2025,8846.6
7/3/2025,3152
7/3/2025,10665.95
7/3/2025,22307.62
7/3/2025,91.46
7/3/2025,311.99
7/3/2025,203.42
7/3/2025,47.91
7/3/2025,3761.35
7/2/2025,708.89
7/2/2025,27.42
7/2/2025,1288.55
7/2/2025,1288.55
7/2/2025,931.76
7/2/2025,1.64
7/2/2025,9605.53
7/2/2025,405.84
7/2/2025,5014.9
7/2/2025,174.09
7/2/2025,396.36
7/2/2025,24104
7/2/2025,57.67
7/2/2025,37.61
7/2/2025,2076.31
7/2/2025,667.69
7/2/2025,931.49
7/2/2025,22.89
7/2/2025,2248
7/1/2025,2024.91
7/1/2025,172.1
7/1/2025,602.72
7/1/2025,469.15
7/1/2025,1047.98
7/1/2025,1301.38
7/1/2025,2002.97
7/1/2025,1572.78
7/1/2025,293.56
7/1/2025,214.99
7/1/2025,594.27
7/1/2025,48.67
7/1/2025,78128
7/1/2025,3134
7/1/2025,2711.88
7/1/2025,1976.29
7/1/2025,1
7/1/2025,737.28
7/1/2025,2678.7
7/1/2025,1101.89
7/1/2025,3059.46
7/1/2025,61.82
6/30/2025,14008.66
6/30/2025,186.6
6/30/2025,4215
6/30/2025,51.03
6/30/2025,21125
6/30/2025,16.43
6/30/2025,1199.09
6/30/2025,2026.3
6/30/2025,286.91
6/30/2025,1296.22
6/30/2025,7.12
6/30/2025,6.02
6/30/2025,193.61
6/30/2025,1853.72
6/30/2025,156.59
6/30/2025,93.57
6/30/2025,13615
6/30/2025,21.35
6/27/2025,2809.11
6/27/2025,2809.11
6/27/2025,123.24
6/27/2025,716.59
6/27/2025,5162
6/27/2025,29.22
6/27/2025,37.72
6/27/2025,138163
6/27/2025,101.84
6/27/2025,1469.9
6/27/2025,204.79
6/27/2025,2947.07
6/27/2025,629.47
6/27/2025,259.04
6/27/2025,357.08
6/27/2025,58.45
6/27/2025,37.72
6/27/2025,6381.8
6/27/2025,2617.15
6/27/2025,4359.8
6/27/2025,4012.57
6/27/2025,4691.81
6/27/2025,40589.47
6/27/2025,838.05
6/27/2025,1725.61
6/27/2025,838.05
6/27/2025,1725.61
6/27/2025,1618.31
6/27/2025,3124.46
6/27/2025,2832.98
6/27/2025,864.63
6/27/2025,4976.62
6/27/2025,6525.17
6/27/2025,624.84
6/27/2025,4976.62
6/27/2025,6525.17
6/27/2025,899.04
6/26/2025,24.44
6/26/2025,26104
6/26/2025,3312.62
6/26/2025,175.24
6/26/2025,175.24
6/26/2025,93.27
6/26/2025,727.23
6/26/2025,189.21
6/26/2025,946.37
6/26/2025,68.94
6/26/2025,483.05
